"Year","Value","MoE"
"2014","11.7%","± 0.1%"
"2015","9.4%","± 0.1%"
"2016","8.6%","± 0.1%"
"2017","8.7%","± 0.1%"
"2018","8.9%","± 0.1%"
"2019","9.2%","± 0.1%"
"2021","8.6%","± 0.1%"
"2022","8.0%","± 0.1%"
"2023","7.9%","± 0.1%"
